#,Country,Total_Cases,Total_Deaths,Total_Recovered,Active_Cases,Serious_Critical,Tot_Cases_1M_pop,Deaths_1M_pop,Total_Tests,Tests_1M_pop,Population
1,USA,98166904,1084282,94962112,2120510,2970,293206,3239,1118158870,3339729,334805269
2,India,44587307,528629,44019095,39583,698,31698,376,894416853,635857,1406631776
3,France,35342950,155078,34527115,660757,869,538892,2365,271490188,4139547,65584518
4,Brazil,34706757,686027,33838636,182094,8318,161162,3186,63776166,296146,215353593
5,Germany,33312373,149948,32315200,847225,1406,397126,1788,122332384,1458359,83883596
6,South_Korea,24769101,28406,24013461,727234,352,482547,553,15804065,307892,51329899
7,UK,23621952,189919,23347871,84162,146,344857,2773,522526476,7628357,68497907
8,Italy,22432803,177054,21779604,476145,141,372250,2938,246636495,4092684,60262770
9,Japan,21229216,44678,20380089,804449,204,169043,356,76201407,606772,125584838
10,Russia,20948470,387163,19979763,581544,2300,143674,2655,273400000,1875095,145805947
11,Turkey,16873793,101139,16754301,18353,975,197211,1182,162743369,1902052,85561976
12,Spain,13412263,114084,13218892,79287,339,287083,2442,471036328,10082298,46719142
13,Vietnam,11477886,43148,10590917,843821,106,115993,436,85826548,867342,98953541
14,Australia,10209239,14984,10133494,60761,49,391627,575,78835048,3024116,26068792
15,Argentina,9708420,129897,9563348,15175,294,211006,2823,35716069,776264,46010234
16,Netherlands,8422336,22643,8362464,37229,35,489345,1316,21107399,1226358,17211447
17,Iran,7548320,144421,7325370,78529,157,87748,1679,54095556,628851,86022837
18,Mexico,7084488,330065,6353953,400470,4798,53849,2509,18393211,139806,131562772
19,Indonesia,6429767,158093,6253317,18357,2771,23035,566,108656989,389264,279134505
20,Taiwan,6417941,11003,5603195,803743,268661,461,25998416,1088319,23888595,
21,Colombia,6307372,141794,6134690,30888,342,122443,2753,36572720,709974,51512762
22,Poland,6289672,117539,5335940,836193,3086,166659,3114,37335609,989290,37739785
23,Portugal,5490639,25024,5394788,70827,61,541453,2468,44988307,4436467,10140570
24,Ukraine,5177217,109206,4973554,94457,177,119865,2528,19521252,451963,43192122
25,Austria,5118512,20738,5006572,91202,47,564539,2287,197543761,21787811,9066710
26,Greece,4920192,33111,4836903,50178,115,476918,3209,94139966,9125063,10316637
27,Malaysia,4838872,36369,4777329,25174,43,145832,1096,64604259,1947021,33181072
29,Thailand,4681309,32767,4642083,6459,1496,66801,468,17270775,246450,70078203
30,Israel,4661096,11698,4641394,8004,101,499796,1254,41373364,4436346,9326000
31,Chile,4620377,61141,4540886,18350,124,240017,3176,45128974,2344339,19250195
32,Belgium,4533249,32659,4451569,49021,48,388511,2799,35555508,3047194,11668278
33,Canada,4233468,44992,4131367,57109,99,110280,1172,64928884,1691366,38388419
34,Peru,4143085,216539,3914598,11948,147,122998,6429,35126382,1042815,33684208
35,Czechia,4100480,41059,4035333,24088,39,381910,3824,56212735,5235528,10736784
36,Switzerland,4084307,14183,4012833,57291,54,465520,1617,22318542,2543819,8773637
37,South_Africa,4018769,102185,3909265,7319,192,66146,1682,26174429,430811,60756135
38,Philippines,3945566,62916,3854478,28172,696,35069,559,32796350,291500,112508994
39,Romania,3267370,67016,3180124,20230,123,171684,3521,25094131,1318569,19031335
40,Denmark,3110831,7065,3093396,10370,533138,1211,128397719,22004939,5834950,
41,Sweden,2588441,20194,2548125,20122,13,253298,1976,18965590,1855920,10218971
